pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-1478 b,Kepler-1478,1,1,Transit,2016,Kepler,26.0840594,0.1681,1.73,3.64,598.0,,5904.0,1.06,1.04,1845.58,15.409,13.873,15.3994
Kepler-1479 b,Kepler-1479,1,1,Transit,2016,Kepler,14.53261362,0.1173,1.83,4.01,746.0,,5796.0,0.98,0.99,728.668,13.914,12.256,13.7331
Kepler-148 b,Kepler-148,1,3,Transit,2014,Kepler,1.729366,0.028,1.8,3.89,1284.0,,5272.0,0.85,0.86,791.163,15.398,13.359,15.3362
Kepler-148 c,Kepler-148,1,3,Transit,2014,Kepler,4.180043,0.05,3.6,12.6,957.0,,5272.0,0.85,0.86,791.163,15.398,13.359,15.3362
Kepler-148 d,Kepler-148,1,3,Transit,2016,Kepler,51.84688575,0.2607,8.68,56.3,413.0,,5172.0,0.81,0.86,791.163,15.398,13.359,15.3362
Kepler-1480 b,Kepler-1480,2,1,Transit,2016,Kepler,22.12679948,0.1525,1.67,3.43,721.0,,5156.0,0.81,0.85,500.892,14.703,12.584,14.4824
Kepler-1481 b,Kepler-1481,1,1,Transit,2016,Kepler,5.94220998,0.059,1.23,2.04,797.0,,4908.0,0.75,0.8,459.076,14.929,12.603,14.7429
Kepler-1482 b,Kepler-1482,1,1,Transit,2016,Kepler,12.25383217,0.1016,1.01,1.01,678.0,,5381.0,0.84,0.88,567.556,13.967,11.996,13.7295
Kepler-1483 b,Kepler-1483,1,1,Transit,2016,Kepler,9.5085156,0.0958,1.52,2.92,1131.0,,6337.0,1.4,1.25,1273.78,14.52,13.077,14.4231
Kepler-1484 b,Kepler-1484,1,1,Transit,2016,Kepler,30.4549136,0.1939,2.11,5.1,624.0,,5730.0,0.92,0.94,2879.83,15.351,13.646,15.2474
Kepler-1485 b,Kepler-1485,1,1,Transit,2016,Kepler,19.9157725,0.1467,1.47,2.76,728.0,,6087.0,1.12,1.11,615.66,13.411,11.724,13.1796
Kepler-1486 b,Kepler-1486,1,1,Transit,2016,Kepler,54.6495759,0.2846,2.32,5.99,538.0,,5965.0,1.12,1.08,1769.14,15.317,13.896,15.2937
Kepler-1487 b,Kepler-1487,1,2,Transit,2016,Kepler,7.31946363,0.0898,2.13,5.18,1682.0,,6541.0,1.63,1.38,1014.62,13.6,12.289,13.4508
Kepler-1487 c,Kepler-1487,1,2,Transit,2023,Kepler,35.8007112,0.2588,7.97,48.7,991.0,,5745.0,3.96,1.8,1014.62,13.6,12.289,13.4508
Kepler-1488 b,Kepler-1488,1,2,Transit,2016,Kepler,39.8189932,0.2285,1.86,4.12,650.0,,5820.0,1.31,1.05,905.825,13.146,11.638,13.0767
Kepler-1488 c,Kepler-1488,1,2,Transit,2021,Kepler,6.15826988,0.0658,1.652,3.37,1212.0,,5710.0,1.52,1.0,905.825,13.146,11.638,13.0767
Kepler-1489 b,Kepler-1489,1,1,Transit,2016,Kepler,82.294751,0.3679,1.77,3.78,400.0,,5655.0,0.9,0.93,1283.05,14.983,13.247,14.8084
Kepler-149 b,Kepler-149,1,3,Transit,2014,Kepler,29.198943,0.184,4.21,16.5,540.0,,5381.0,0.95,0.92,571.034,14.152,12.184,14.0194
Kepler-149 c,Kepler-149,1,3,Transit,2014,Kepler,55.328328,0.281,1.61,3.22,436.0,,5381.0,0.95,0.92,571.034,14.152,12.184,14.0194
Kepler-149 d,Kepler-149,1,3,Transit,2014,Kepler,160.018032,0.571,3.96,14.9,306.0,,5381.0,0.95,0.92,571.034,14.152,12.184,14.0194
Kepler-1490 b,Kepler-1490,1,1,Transit,2016,Kepler,92.4362973,0.3729,3.04,9.48,348.0,,5515.0,0.87,0.9,862.92,15.616,13.616,15.4179
Kepler-1491 b,Kepler-1491,1,2,Transit,2016,Kepler,16.5861762,0.127,1.51,2.89,821.0,,5728.0,0.99,1.0,2065.59,15.796,13.949,15.5695
Kepler-1491 c,Kepler-1491,1,2,Transit,2023,Kepler,61.569765,0.3045,2.44,6.53,530.0,,5626.0,1.39,0.99,2065.59,15.796,13.949,15.5695
Kepler-1492 b,Kepler-1492,1,1,Transit,2016,Kepler,16.75255007,0.1262,1.49,2.83,801.0,,4712.0,0.72,0.77,331.553,14.689,12.158,14.4962
Kepler-1493 b,Kepler-1493,1,1,Transit,2016,Kepler,15.0217983,0.1197,1.41,2.57,874.0,,5863.0,1.29,1.06,555.051,13.7192,11.53,13.5532
Kepler-1494 b,Kepler-1494,1,1,Transit,2016,Kepler,91.080482,0.3982,3.07,9.64,415.0,,5659.0,0.94,0.96,1285.48,15.372,13.536,15.217
Kepler-1495 b,Kepler-1495,1,1,Transit,2016,Kepler,85.273256,0.3677,2.94,8.96,443.0,,5831.0,1.04,1.03,1355.54,15.494,13.845,15.6247
Kepler-1496 b,Kepler-1496,1,1,Transit,2016,Kepler,64.6588017,0.3211,2.22,5.56,535.0,,6182.0,1.27,1.18,1307.66,14.832,13.225,14.6819
Kepler-1497 b,Kepler-1497,1,1,Transit,2016,Kepler,8.74199772,0.0817,1.66,3.39,924.0,,5675.0,0.95,0.96,1122.0,15.707,13.699,15.3761
Kepler-1498 b,Kepler-1498,1,1,Transit,2016,Kepler,48.051405,0.2528,1.33,2.33,564.0,,5256.0,0.81,0.86,740.0,15.352,13.238,15.0997
Kepler-1499 b,Kepler-1499,1,1,Transit,2016,Kepler,44.2008,0.2196,1.19,1.81,409.0,,5097.0,0.78,0.82,309.869,13.676,11.455,13.5155
Kepler-15 b,Kepler-15,1,1,Transit,2011,Kepler,4.942782,0.05714,10.76,209.76,1251.0,,5515.0,0.99,1.02,739.412,13.81,12.216,13.7136
Kepler-150 b,Kepler-150,1,5,Transit,2014,Kepler,3.428054,0.044,1.25,2.1,1131.0,,5560.0,0.94,0.94,891.092,15.161,13.367,14.9743
Kepler-150 c,Kepler-150,1,5,Transit,2014,Kepler,7.381998,0.073,3.69,13.2,876.0,,5560.0,0.94,0.94,891.092,15.161,13.367,14.9743
